Frente;Verso
O que é uma <b>equação do 2º grau</b>?;É uma igualdade com incógnita em que o maior expoente da incógnita é 2.<br><br><i>Fonte: Aula Bônus 15 — Equação do Segundo Grau</i><hr><b>BIZU:</b> Se aparece x² como maior potência, pense em equação do 2º grau.
Qual é a forma geral da equação do 2º grau?;A forma geral é <b>a.x² + b.x + c = 0</b>, com a diferente de zero.<br><br><i>Fonte: Aula Bônus 15 — Equação do Segundo Grau</i><hr><b>BIZU:</b> O coeficiente a não pode ser zero, porque sem x² a equação deixa de ser do 2º grau.
Na equação <b>a.x² + b.x + c = 0</b>, quem são os coeficientes?;a é o coeficiente de x², b é o coeficiente de x, c é o termo independente.<br><br><i>Fonte: Aula Bônus 15 — Equação do Segundo Grau</i><hr><b>BIZU:</b> a acompanha x², b acompanha x, c está sozinho.
Na equação <b>x² - 5x + 4 = 0</b>, quais são a, b e c?;a = 1, b = -5, c = 4.<br><br><i>Fonte: Aula Bônus 15 — Exercício de fixação</i><hr><b>BIZU:</b> O sinal faz parte do coeficiente. b não é 5, é -5.
Na equação <b>2x² + 2x - 4 = 0</b>, quais são a, b e c?;a = 2, b = 2, c = -4.<br><br><i>Fonte: Raciocínio Aritmético — Equação do 2º grau</i><hr><b>BIZU:</b> Termo independente negativo entra como c negativo.
O que é o <b>delta</b> ou discriminante?;É o valor calculado por <b>Δ = b² - 4.a.c</b>, usado para descobrir o tipo de raiz da equação do 2º grau.<br><br><i>Fonte: Aula Bônus 15 — Equação do Segundo Grau</i><hr><b>BIZU:</b> Delta é o semáforo das raízes.
Qual é a fórmula de Bhaskara?;<b>x = (-b ± √Δ) / 2a</b>.<br><br><i>Fonte: Aula Bônus 15 — Equação do Segundo Grau</i><hr><b>BIZU:</b> Primeiro calcule Δ. Só depois aplique Bhaskara.
Se <b>Δ > 0</b>, o que acontece?;A equação possui duas raízes reais distintas.<br><br><i>Fonte: Aula Bônus 15 — Equação do Segundo Grau</i><hr><b>BIZU:</b> Delta positivo abre dois caminhos.
Se <b>Δ = 0</b>, o que acontece?;A equação possui uma raiz real dupla.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> Delta zero junta as duas raízes no mesmo valor.
Se <b>Δ < 0</b>, o que acontece no conjunto dos reais?;A equação não possui raízes reais.<br><br><i>Fonte: Aula Bônus 15 — Exemplos e exercícios</i><hr><b>BIZU:</b> Raiz quadrada de número negativo não entra nos reais.
Na equação <b>x² - 3x + 2 = 0</b>, quais são as raízes?;As raízes são 1 e 2.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> Dois números que multiplicam 2 e somam 3 são 1 e 2.
Na equação <b>x² - 6x + 9 = 0</b>, qual é a raiz?;A raiz é 3, com raiz dupla.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> x² - 6x + 9 é quadrado perfeito: (x - 3)².
Na equação <b>x² - 5x + 8 = 0</b>, existem raízes reais?;<b>Não.</b> O delta é negativo, portanto não há raízes reais.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> Delta negativo, sem raiz real.
Na equação <b>x² - 9 = 0</b>, quais são as raízes?;As raízes são 3 e -3.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> x² = 9 gera duas respostas: +3 e -3.
Na equação <b>x² - 5x = 0</b>, quais são as raízes?;As raízes são 0 e 5.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> Coloque x em evidência: x(x - 5) = 0.
O que fazer quando a equação do 2º grau não tem termo independente?;Coloque x em evidência.<br><br>Exemplo: x² - 5x = 0 vira x(x - 5) = 0.<br><br><i>Fonte: Aula Bônus 15 — Exemplos</i><hr><b>BIZU:</b> Se todos os termos têm x, coloque x para fora.
O que fazer quando a equação do 2º grau não tem termo com x?;Isole x² e depois tire a raiz quadrada, lembrando do sinal positivo e negativo.<br><br><i>Fonte: Aula Bônus 15 — Exercícios</i><hr><b>BIZU:</b> x² = número positivo gera duas raízes opostas.
Qual é a soma das raízes de <b>ax² + bx + c = 0</b>?;A soma das raízes é <b>-b/a</b>.<br><br><i>Fonte: Propriedade das raízes em equação do 2º grau</i><hr><b>BIZU:</b> Soma olha para b com sinal trocado.
Qual é o produto das raízes de <b>ax² + bx + c = 0</b>?;O produto das raízes é <b>c/a</b>.<br><br><i>Fonte: Questões de Raciocínio Aritmético — produto das raízes</i><hr><b>BIZU:</b> Produto olha para c dividido por a.
