Frente;Verso
[BLOCO 04] Quais crimes serão estudados no bloco inicial de crimes do Estatuto do Desarmamento?;Neste bloco entram quatro crimes centrais: <br>• Art. 12: posse irregular de arma de fogo de uso permitido <br>• Art. 13: omissão de cautela <br>• Art. 14: porte ilegal de arma de fogo de uso permitido <br>• Art. 15: disparo de arma de fogo<br><br><i>Fonte: Lei nº 10.826/2003, arts. 12 a 15</i><hr><b>BIZU:</b> Sequência lógica: <b>possuir</b>, <b>descuidar</b>, <b>portar</b>, <b>disparar</b>.
[BLOCO 04] Qual é o crime do art. 12 do Estatuto do Desarmamento?;É o crime de <b>posse irregular de arma de fogo de uso permitido</b>: possuir ou manter sob guarda arma de fogo, acessório ou munição de uso permitido, em desacordo com determinação legal ou regulamentar, no interior da residência, dependência desta ou local de trabalho, desde que seja titular ou responsável legal do estabelecimento ou empresa.<br><br><i>Fonte: Lei nº 10.826/2003, art. 12</i><hr><b>BIZU:</b> Art. 12 = arma irregular em <font color="#00e676">casa</font> ou <font color="#00e676">trabalho próprio</font>.
Qual é a pena do crime de posse irregular de arma de fogo de uso permitido?;A pena é de <font color="#ffeb3b">detenção de 1 a 3 anos</font> e multa.<br><br><i>Fonte: Lei nº 10.826/2003, art. 12</i><hr><b>BIZU:</b> Posse permitida irregular = 1 a 3, detenção.
Quais objetos materiais podem aparecer no art. 12?;O art. 12 alcança <font color="#00e676">arma de fogo</font>, <font color="#00e676">acessório</font> ou <font color="#00e676">munição</font> de uso permitido.<br><br><i>Fonte: Lei nº 10.826/2003, art. 12</i><hr><b>BIZU:</b> No art. 12, não é só arma: acessório e munição também contam.
O art. 12 exige que a arma esteja em qual local?;Exige que a arma, acessório ou munição esteja no interior da residência ou dependência desta, ou no local de trabalho, desde que o agente seja titular ou responsável legal pelo estabelecimento ou empresa.<br><br><i>Fonte: Lei nº 10.826/2003, art. 12</i><hr><b>BIZU:</b> Local é a alma do art. 12: casa ou trabalho próprio.
O que diferencia a <b>posse irregular</b> do art. 12 do <b>porte ilegal</b> do art. 14?;Na posse irregular, a arma está na residência, dependência ou local de trabalho autorizado. No porte ilegal, o agente leva, transporta, oculta ou manipula a arma fora desses locais, sem autorização ou em desacordo com a lei.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 12 e 14</i><hr><b>BIZU:</b> Casa e trabalho puxam posse. Rua, carro e circulação puxam porte.
O crime de posse irregular de arma de fogo de uso permitido é crime de perigo abstrato?;<b>Sim.</b> É crime de perigo abstrato, pois independe da demonstração de efetivo perigo concreto à segurança pública ou à paz social.<br><br><i>Fonte: Material Estratégia, classificação doutrinária do art. 12</i><hr><b>BIZU:</b> Perigo abstrato = a lei presume o risco.
Por que os crimes de posse e porte de arma são considerados de perigo abstrato?;Porque o bem jurídico tutelado é a segurança pública e a paz social, de modo que não é necessário provar que a arma causou risco concreto em determinada situação.<br><br><i>Fonte: Jurisprudência em Teses do STJ, edição nº 102, conforme material</i><hr><b>BIZU:</b> A banca tenta exigir perigo concreto. A resposta padrão é: <b>perigo abstrato</b>.
O art. 12 é crime comum?;<b>Sim.</b> O crime é comum porque não exige característica especial do sujeito ativo, <b>astando que alguém possua ou mantenha so</b> guarda arma, acessório ou munição de uso permitido em desacordo com a lei.<br><br><i>Fonte: Material Estratégia, classificação doutrinária do art. 12</i><hr><b>BIZU:</b> Crime comum = qualquer pessoa pode praticar.
O art. 12 é crime vago?;<b>Sim.</b> É crime vago porque o sujeito passivo é a coletividade.<br><br><i>Fonte: Material Estratégia, classificação doutrinária do art. 12</i><hr><b>BIZU:</b> Crime vago protege a coletividade, não uma vítima individual determinada.
O art. 12 é norma penal em branco?;<b>Sim.</b> O tipo fala em conduta praticada em desacordo com determinação legal ou regulamentar, exigindo complemento normativo.<br><br><i>Fonte: Material Estratégia, classificação doutrinária do art. 12</i><hr><b>BIZU:</b> “Em desacordo com determinação legal ou regulamentar” é cheiro de norma penal em branco.
Caminhão ou táxi configuram local de trabalho para fins de posse de arma de fogo?;<b>Não.</b> O material reforça que caminhão ou táxi não configuram local de trabalho para justificar posse de arma de fogo apenas com registro.<br><br><i>Fonte: Material Estratégia, comentário ao art. 12</i><hr><b>BIZU:</b> Veículo de trabalho não vira “casa jurídica” da arma.
Se a arma de uso permitido estiver com registro vencido dentro da residência, há crime de posse irregular?;<b>Não.</b> Segundo o STJ, a posse de arma de fogo de uso permitido com registro vencido, no interior da residência, configura mera irregularidade administrativa, não crime do art. 12.<br><br><i>Fonte: STJ, APn 686-AP e HC 294.078/SP, conforme material</i><hr><b>BIZU:</b> Registro vencido + posse em casa + arma permitida = irregularidade administrativa.
